date,stock_code,open,high,low,close,volume,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2022-06-15,002130.SZ,5.69,5.78,5.66,5.7,152332.9,87201.035,1.2207,1.5039,1.23,12.9931,14.2699,1.8761,1.3283,1.3337,0.5259,0.614,125989.8562,124788.688,101289.4825,718142.1803,711295.5216
2022-06-16,002130.SZ,5.7,5.75,5.66,5.68,113229.44,64596.006,0.9074,1.1179,0.89,12.9475,14.2199,1.8695,1.3236,1.329,0.5278,0.6162,125989.8562,124788.688,101289.4825,715622.3832,708799.7478
2022-06-17,002130.SZ,5.64,5.77,5.6,5.76,158059.6,90403.709,1.2666,1.5605,1.22,13.1299,14.4202,1.8959,1.3423,1.3477,0.5204,0.6076,125989.8562,124788.688,101289.4825,725701.5717,718782.8429
2022-06-20,002130.SZ,5.78,5.92,5.77,5.88,187805.58,110101.063,1.505,1.8541,1.35,13.4034,14.7206,1.9354,1.3702,1.3758,0.5098,0.5952,125989.8562,124788.688,101289.4825,740820.3545,733757.4854
2022-06-21,002130.SZ,5.88,5.94,5.8,5.9,162015.78,95136.413,1.2983,1.5995,1.09,13.449,14.7706,1.9419,1.3749,1.3805,0.5081,0.5932,125989.8562,124788.688,101289.4825,743340.1516,736253.2592
2022-06-22,002130.SZ,5.89,5.93,5.8,5.81,126308.03,74031.192,1.0122,1.247,0.82,13.2439,14.5453,1.9123,1.3539,1.3594,0.516,0.6024,125989.8562,124788.688,101289.4825,732001.0645,725022.2773
2022-06-23,002130.SZ,5.88,6.0,5.83,6.0,198093.02,117580.958,1.5874,1.9557,1.33,13.677,15.021,1.9748,1.3982,1.4039,0.4996,0.5833,125989.8562,124788.688,101289.4825,755939.1372,748732.128
2022-06-24,002130.SZ,5.99,6.06,5.96,6.03,178342.98,107220.411,1.4292,1.7607,1.07,13.7453,15.0961,1.9847,1.4052,1.4109,0.4971,0.5804,125989.8562,124788.688,101289.4825,759718.8329,752475.7886
2022-06-27,002130.SZ,6.07,6.08,5.98,6.02,125918.19,75803.394,1.0091,1.2432,0.74,13.7225,15.0711,1.9814,1.4029,1.4086,0.498,0.5814,125989.8562,124788.688,101289.4825,758458.9343,751227.9018
2022-06-28,002130.SZ,6.01,6.27,6.0,6.22,221334.81,136021.672,1.7737,2.1852,1.4,14.1784,15.5718,2.0473,1.4495,1.4554,0.4819,0.5627,125989.8562,124788.688,101289.4825,783656.9056,776185.6394
2022-06-29,002130.SZ,6.22,6.27,6.0,6.0,202432.38,123724.171,1.6222,1.9986,1.19,13.677,15.021,1.9748,1.3982,1.4039,0.4996,0.5833,125989.8562,124788.688,101289.4825,755939.1372,748732.128
2022-06-30,002130.SZ,6.0,6.27,5.97,6.14,213657.08,131548.826,1.7122,2.1094,1.15,13.9961,15.3715,2.0209,1.4308,1.4366,0.4882,0.57,125989.8562,124788.688,101289.4825,773577.7171,766202.5443
2022-07-01,002130.SZ,6.12,6.2,6.03,6.12,153002.15,93067.022,1.2261,1.5105,0.81,13.9505,15.3214,2.0143,1.4262,1.432,0.4898,0.5719,125989.8562,124788.688,101289.4825,771057.9199,763706.7706
2022-07-04,002130.SZ,6.07,6.2,5.99,6.17,143214.47,87138.399,1.1477,1.4139,0.78,14.0645,15.4466,2.0308,1.4378,1.4437,0.4858,0.5673,125989.8562,124788.688,101289.4825,777357.4128,769946.205
2022-07-05,002130.SZ,6.16,6.3,6.13,6.26,251519.23,156631.258,2.0156,2.4832,1.35,14.2696,15.6719,2.0604,1.4588,1.4647,0.4789,0.5591,125989.8562,124788.688,101289.4825,788696.4998,781177.1869
2022-07-06,002130.SZ,6.3,6.51,6.14,6.48,508457.27,322757.082,4.0745,5.0198,2.64,14.7711,16.2227,2.1328,1.51,1.5162,0.4626,0.5401,125989.8562,124788.688,101289.4825,816414.2682,808630.6982
2022-07-07,002130.SZ,6.43,6.47,6.31,6.38,301063.09,192331.802,2.4126,2.9723,1.19,14.5432,15.9723,2.0999,1.4867,1.4928,0.4699,0.5486,125989.8562,124788.688,101289.4825,803815.2826,796151.8294
2022-07-08,002130.SZ,6.42,6.42,6.22,6.23,230180.7,144990.86,1.8446,2.2725,0.85,14.2012,15.5968,2.0506,1.4518,1.4577,0.4812,0.5618,125989.8562,124788.688,101289.4825,784916.8041,777433.5262
2022-07-11,002130.SZ,6.24,6.36,6.18,6.28,189405.21,119155.658,1.5178,1.8699,0.66,14.3152,15.722,2.067,1.4634,1.4694,0.4773,0.5573,125989.8562,124788.688,101289.4825,791216.2969,783672.9606
2022-07-12,002130.SZ,6.22,6.24,6.08,6.09,206763.08,126947.093,1.6569,2.0413,0.7,13.8821,15.2463,2.0045,1.4192,1.425,0.4922,0.5747,125989.8562,124788.688,101289.4825,767278.2243,759963.1099
2022-07-13,002130.SZ,6.09,6.18,6.07,6.14,118668.63,72776.652,0.951,1.1716,0.41,13.9961,15.3715,2.0209,1.4308,1.4366,0.4882,0.57,125989.8562,124788.688,101289.4825,773577.7171,766202.5443
2022-07-14,002130.SZ,6.15,6.35,6.12,6.33,197358.63,123672.098,1.5815,1.9485,0.94,14.4292,15.8472,2.0835,1.4751,1.4811,0.4736,0.5529,125989.8562,124788.688,101289.4825,797515.7897,789912.395
2022-07-15,002130.SZ,6.31,6.31,6.15,6.15,157258.84,98058.54,1.2602,1.5526,0.83,14.0189,15.3965,2.0242,1.4331,1.439,0.4874,0.5691,125989.8562,124788.688,101289.4825,774837.6156,767450.4312
2022-07-18,002130.SZ,6.2,6.35,6.18,6.34,153447.0,96161.854,1.2297,1.5149,0.88,14.452,15.8722,2.0868,1.4774,1.4834,0.4728,0.5521,125989.8562,124788.688,101289.4825,798775.6883,791160.2819
2022-07-19,002130.SZ,6.3,6.4,6.29,6.35,137978.66,87515.197,1.1057,1.3622,0.83,14.4748,15.8972,2.09,1.4798,1.4858,0.4721,0.5512,125989.8562,124788.688,101289.4825,800035.5869,792408.1688
2022-07-20,002130.SZ,6.39,6.48,6.31,6.45,188384.4,120654.712,1.5096,1.8599,1.23,14.7027,16.1476,2.123,1.5031,1.5092,0.4648,0.5426,125989.8562,124788.688,101289.4825,812634.5725,804887.0376
2022-07-21,002130.SZ,6.41,6.51,6.35,6.37,175153.72,112421.395,1.4036,1.7292,1.05,14.5204,15.9473,2.0966,1.4844,1.4905,0.4706,0.5495,125989.8562,124788.688,101289.4825,802555.384,794903.9426
2022-07-22,002130.SZ,6.36,6.43,6.26,6.35,154874.44,98169.096,1.2411,1.529,0.95,14.4748,15.8972,2.09,1.4798,1.4858,0.4721,0.5512,125989.8562,124788.688,101289.4825,800035.5869,792408.1688
2022-07-25,002130.SZ,6.36,6.36,6.12,6.16,145060.15,90093.465,1.1624,1.4321,0.9,14.0417,15.4216,2.0275,1.4355,1.4413,0.4866,0.5682,125989.8562,124788.688,101289.4825,776097.5142,768698.3181
2022-07-26,002130.SZ,6.17,6.25,6.04,6.25,132654.19,81692.871,1.063,1.3097,0.83,14.2468,15.6469,2.0571,1.4564,1.4624,0.4796,0.56,125989.8562,124788.688,101289.4825,787436.6013,779929.3
2022-07-27,002130.SZ,6.22,6.34,6.2,6.32,117469.79,73777.846,0.9413,1.1597,0.74,14.4064,15.8221,2.0802,1.4728,1.4788,0.4743,0.5538,125989.8562,124788.688,101289.4825,796255.8912,788664.5082
2022-07-28,002130.SZ,6.36,6.4,6.32,6.34,139923.42,89008.268,1.1213,1.3814,0.96,14.452,15.8722,2.0868,1.4774,1.4834,0.4728,0.5521,125989.8562,124788.688,101289.4825,798775.6883,791160.2819
2022-07-29,002130.SZ,6.34,6.45,6.33,6.34,144374.88,92172.141,1.157,1.4254,1.05,14.452,15.8722,2.0868,1.4774,1.4834,0.4728,0.5521,125989.8562,124788.688,101289.4825,798775.6883,791160.2819
2022-08-01,002130.SZ,6.33,6.55,6.26,6.54,243479.02,156932.698,1.9511,2.4038,1.79,14.9079,16.3729,2.1526,1.524,1.5302,0.4584,0.5352,125989.8562,124788.688,101289.4825,823973.6595,816118.0195
2022-08-02,002130.SZ,6.48,6.49,6.13,6.22,298155.0,186547.523,2.3893,2.9436,1.92,14.1784,15.5718,2.0473,1.4495,1.4554,0.4819,0.5627,125989.8562,124788.688,101289.4825,783656.9056,776185.6394
2022-08-03,002130.SZ,6.25,6.84,6.25,6.54,986171.64,660249.369,7.9027,9.7362,5.23,14.9079,16.3729,2.1526,1.524,1.5302,0.4584,0.5352,125989.8562,124788.688,101289.4825,823973.6595,816118.0195
2022-08-04,002130.SZ,6.53,6.59,6.28,6.36,592391.08,379514.593,4.7472,5.8485,1.63,14.4976,15.9223,2.0933,1.4821,1.4881,0.4713,0.5503,125989.8562,124788.688,101289.4825,801295.4854,793656.0557
2022-08-05,002130.SZ,6.39,6.43,6.22,6.38,326899.61,206404.642,2.6196,3.2274,0.72,14.5432,15.9723,2.0999,1.4867,1.4928,0.4699,0.5486,125989.8562,124788.688,101289.4825,803815.2826,796151.8294
2022-08-08,002130.SZ,6.34,6.49,6.23,6.42,206476.94,131611.759,1.6546,2.0385,0.42,14.6343,16.0725,2.1131,1.4961,1.5022,0.4669,0.5452,125989.8562,124788.688,101289.4825,808854.8768,801143.377
2022-08-09,002130.SZ,6.4,6.8,6.38,6.77,523572.67,347413.013,4.1957,5.1691,1.09,15.4322,16.9487,2.2283,1.5776,1.5841,0.4428,0.517,125989.8562,124788.688,101289.4825,852951.3265,844819.4178
2022-08-10,002130.SZ,6.73,6.82,6.65,6.68,289993.79,194599.632,2.3239,2.863,0.55,15.227,16.7234,2.1987,1.5567,1.563,0.4488,0.524,125989.8562,124788.688,101289.4825,841612.2394,833588.4358
2022-08-11,002130.SZ,6.68,6.73,6.62,6.7,228254.11,152170.088,1.8291,2.2535,0.59,15.2726,16.7734,2.2052,1.5613,1.5677,0.4474,0.5224,125989.8562,124788.688,101289.4825,844132.0365,836084.2096
2022-08-12,002130.SZ,6.72,6.72,6.55,6.57,217785.01,144582.614,1.7452,2.1501,0.69,14.9763,16.448,2.1625,1.531,1.5373,0.4563,0.5327,125989.8562,124788.688,101289.4825,827753.3552,819861.6802
2022-08-15,002130.SZ,6.56,6.82,6.53,6.81,294661.53,198445.104,2.3613,2.9091,1.0,15.5233,17.0488,2.2415,1.5869,1.5934,0.4402,0.514,125989.8562,124788.688,101289.4825,857990.9207,849810.9653
2022-08-16,002130.SZ,6.84,7.33,6.84,7.05,596393.2,422049.466,4.7779,5.886,1.92,16.0704,16.621,2.2068,1.6429,1.6419,0.4252,0.4965,125989.8562,124822.468,101323.2625,888228.4862,879998.3994
2022-08-17,002130.SZ,7.03,7.18,6.99,7.02,274493.64,193776.582,2.1991,2.7091,0.84,16.002,16.5503,2.1974,1.6359,1.6349,0.427,0.4986,125989.8562,124822.468,101323.2625,884448.7905,876253.7254
2022-08-18,002130.SZ,7.07,7.25,7.05,7.22,355357.95,254913.876,2.8469,3.5072,1.1,16.4579,17.0218,2.2601,1.6825,1.6815,0.4152,0.4848,125989.8562,124822.468,101323.2625,909646.7618,901218.219
2022-08-19,002130.SZ,7.22,7.3,7.02,7.2,359759.97,257620.46,2.8822,3.5506,1.03,16.4124,16.9746,2.2538,1.6778,1.6768,0.4163,0.4861,125989.8562,124822.468,101323.2625,907126.9646,898721.7696
2022-08-22,002130.SZ,7.28,7.82,7.27,7.61,570990.66,432500.87,4.5744,5.6353,1.52,17.3469,17.9412,2.3821,1.7734,1.7723,0.3939,0.4599,125989.8562,124822.468,101323.2625,958782.8057,949898.9815
2022-08-23,002130.SZ,7.45,7.97,7.4,7.62,630174.89,482505.539,5.0486,6.2194,1.46,17.3697,17.9648,2.3853,1.7757,1.7747,0.3934,0.4593,125989.8562,124822.468,101323.2625,960042.7042,951147.2062
